       eta               phi                 dphi                  d2phi            d3phi            eta - phi      integral( (1-dphi)*dphi )    eta*dphi - phi
                   0                   0                   0   0.332057186818199                   0                   0                   0                   0
   0.200000000000000   0.006641005956115   0.066407762460401   0.331983686835048  -0.001102352820802   0.193358994043885   0.006346977032574   0.006640546535965
   0.400000000000000   0.026559863481222   0.132764104548107   0.331469707190438  -0.004401895085569   0.373440136518778   0.024208653641130   0.026545778338020
   0.600000000000000   0.059734611342621   0.198937165951562   0.330078989111401  -0.009858570063467   0.540265388657379   0.051807590803883   0.059627688228316
   0.800000000000000   0.106108174640413   0.264709024756911   0.327389133739158  -0.017369331689084   0.693891825359587   0.087356515136632   0.105659045165116
   1.000000000000000   0.165571654093075   0.329779890232623   0.323006982677449  -0.026740400202759   0.834428345906925   0.129069894874884   0.164208236139547
   1.200000000000000   0.237948614736286   0.393775936888870   0.316589059878698  -0.037665964119400   0.962051385263714   0.175186472937215   0.234582509530358
   1.400000000000000   0.322981435173940   0.456261571247739   0.307865263929555  -0.049717382392086   1.077018564826060   0.224001313900217   0.315784764572894
   1.600000000000000   0.420320585628585   0.516756565773740   0.296663337463531  -0.062346853868601   1.179679414371415   0.273904915721075   0.406489919609399
   1.800000000000000   0.529517811692797   0.574757900883015   0.282930897709984  -0.074908474907835   1.270482188307203   0.323425896291386   0.505046409896629
   2.000000000000000   0.650024092922990   0.629765470087488   0.266751431158612  -0.086697428537393   1.349975907077010   0.371272919976841   0.609506847251985
   2.200000000000000   0.781193004454131   0.681310088471929   0.248350804189983  -0.097004955441886   1.418806995545869   0.416371122960990   0.717689190184113
   2.400000000000000   0.922289733183901   0.728981625086764   0.228091657644144  -0.105183297035046   1.477710266816099   0.457888526967115   0.827266167024333
   2.600000000000000   1.072505520322762   0.772454691197269   0.206454530141519  -0.110711811636210   1.527494479677238   0.495248885112331   0.935876676790136
   2.800000000000000   1.230976777969590   0.811509274582527   0.184006503918380  -0.113253866659448   1.569023222030409   0.528129005218041   1.041249190861486
   3.000000000000000   1.396807635049140   0.846044077749001   0.161360236634247  -0.112694605262026   1.603192364950860   0.556440599047031   1.141324598197862
   3.200000000000000   1.569094289381996   0.876081073476369   0.139127980664272  -0.109152459976779   1.630905710618003   0.580298740583823   1.234365145742383
   3.400000000000000   1.746949345534806   0.901760825675223   0.117876180583497  -0.102961858262241   1.653050654465194   0.599980683119171   1.319037461760953
   3.600000000000000   1.929524340949192   0.923329258013763   0.098086223659395  -0.094629878031294   1.670475659050808   0.615879765367619   1.394460987900355
   3.800000000000000   2.116028905766966   0.941117579093147   0.080125876230767  -0.084774335102104   1.683971094233033   0.628459281118601   1.460217894786990
   4.000000000000000   2.305745422799130   0.955517805430670   0.064234096420032  -0.074053736904063   1.694254577200870   0.638210549510252   1.516325798923549
   4.200000000000000   2.498038581814831   0.966956646565621   0.050519745080046  -0.063100136176702   1.701961418185169   0.645618227656025   1.563179333760778
   4.400000000000000   2.692359771342570   0.975870407142069   0.038972636207475  -0.052464178954087   1.707640228657430   0.651134467197346   1.601470020082532
   4.600000000000000   2.888246739538896   0.982683084036123   0.029483830191459  -0.042578288209800   1.711753260461103   0.655162140271303   1.632095447027270
   4.800000000000000   3.085319322758306   0.987789124700863   0.021871280868332  -0.033739942738270   1.714680677241694   0.658046275184388   1.656068475805839
   5.000000000000000   3.283272254580233   0.991541521299562   0.015906930415174  -0.026113391643839   1.716727745419767   0.660072158677459   1.674435351917578
   5.200000000000000   3.481866128036424   0.994245186381407   0.011341955357960  -0.019745585093291   1.718133871963576   0.661468280280401   1.688208841146895
   5.400000000000000   3.680917513164637   0.996154991248734   0.007927854710700  -0.014590889623220   1.719082486835363   0.662412337901561   1.698319439578526
   5.600000000000000   3.880289069405771   0.997477496587692   0.005432171845357  -0.010539198517337   1.719710930594229   0.663038780483294   1.705584911485306
   5.800000000000000   4.079880281047857   0.998375265871980   0.003648635917199  -0.007442998865652   1.720119718952143   0.663446722201195   1.710696261009627
   6.000000000000000   4.279619223210441   0.998972688954309   0.002402258550956  -0.005140375936897   1.720380776789559   0.663707435263350   1.714216910515411
   6.200000000000000   4.479455565582374   0.999362400741122   0.001550375301296  -0.003472418636066   1.720544434417626   0.663870957970063   1.716591319012579
   6.400000000000000   4.679354859492696   0.999611599550963   0.000980797362413  -0.002294749451993   1.720645140507305   0.663971613483478   1.718159377633468
   6.600000000000000   4.879294038156872   0.999767801798874   0.000608198852505  -0.001483790517520   1.720705961843128   0.664032416778080   1.719173453715698
   6.800000000000001   5.079257988758672   0.999863778579147   0.000369687305578  -0.000938868600099   1.720742011241328   0.664068460141371   1.719815705579527
   7.000000000000000   5.279237021544372   0.999921585684951   0.000220264381260  -0.000581413938037   1.720762978455628   0.664089425530105   1.720214078250283
   7.199999999999999   5.479225055890944   0.999955715179553   0.000128638534154  -0.000352419739746   1.720774944109055   0.664101390737576   1.720456093401833
   7.400000000000000   5.679218356677779   0.999975466990671   0.000073638911438  -0.000209105728802   1.720781643322222   0.664108089910130   1.720600099053190
   7.600000000000000   5.879214677798108   0.999986671729927   0.000041317878896  -0.000121458340032   1.720785322201892   0.664111768841995   1.720684027349335
   7.800000000000000   6.079212696835454   0.999992901812529   0.000022721335272  -0.000069063914937   1.720787303164546   0.664113749860618   1.720731937302272
   8.000000000000000   6.279211651437512   0.999996296841989   0.000012244439164  -0.000038442712533   1.720788348562488   0.664114795299429   1.720758723298403
   8.199999999999999   6.479211111251257   0.999998109747864   0.000006464654747  -0.000020942931433   1.720788888748742   0.664115335511922   1.720773388681224
